Stock A,Stock B,p-value
GRASIM.NS,ULTRACEMCO.NS,0.14344437338961552
BHEL.NS,ONGC.NS,0.14797549206478205
AXISBANK.NS,VEDL.NS,0.14907331091217185
HDFCBANK.NS,RELIANCE.NS,0.14918693873246408
CANBK.NS,POWERGRID.NS,0.15092041922699378
BAJFINANCE.NS,HDFCBANK.NS,0.15092832608978063
M&M.NS,VEDL.NS,0.15123045917608996
TATAPOWER.NS,VEDL.NS,0.15132190932476164
BAJAJ-AUTO.NS,ULTRACEMCO.NS,0.15287511842339224
BAJFINANCE.NS,TATACONSUM.NS,0.15480026389425688
AMBUJACEM.NS,TATACONSUM.NS,0.1549021639412052
LT.NS,VEDL.NS,0.1563955332442638
BPCL.NS,GRASIM.NS,0.15649838730800986
GRASIM.NS,JSWSTEEL.NS,0.1573468417607397
AMBUJACEM.NS,ICICIBANK.NS,0.15806441731523685
ONGC.NS,POWERGRID.NS,0.15874776685846864
BHARATFORG.NS,ICICIBANK.NS,0.16061885803361153
BHARATFORG.NS,BPCL.NS,0.16300333973387277
BHARATFORG.NS,COALINDIA.NS,0.16593020814276144
AXISBANK.NS,TATACHEM.NS,0.1672086709825733
CANBK.NS,M&M.NS,0.16730676959050939
ICICIBANK.NS,TITAN.NS,0.16803186266395037
CANBK.NS,LT.NS,0.16893746341794896
ONGC.NS,TATAPOWER.NS,0.16954322551183126
SBIN.NS,TATASTEEL.NS,0.1712003399771413
BANKBARODA.NS,BOSCHLTD.NS,0.17145470266010793
ADANIENT.NS,BAJAJFINSV.NS,0.17163808453164375
CANBK.NS,SIEMENS.NS,0.1728861866304498
AXISBANK.NS,TATACONSUM.NS,0.17448550724974715
BHEL.NS,SIEMENS.NS,0.17544136118322723
ICICIBANK.NS,JSWSTEEL.NS,0.17564053044115058
BHARATFORG.NS,IOC.NS,0.17603497526889333
BHARATFORG.NS,HEROMOTOCO.NS,0.17755747039971265
M&M.NS,NTPC.NS,0.17771368764314904
BANKBARODA.NS,NTPC.NS,0.17897665067149204
ASHOKLEY.NS,CANBK.NS,0.17910126861667258
BAJAJ-AUTO.NS,EICHERMOT.NS,0.18102868253741794
GAIL.NS,VEDL.NS,0.18148946922897619
BAJFINANCE.NS,HAVELLS.NS,0.18219840929959252
ASHOKLEY.NS,AXISBANK.NS,0.183072927187849
TATACONSUM.NS,TITAN.NS,0.1843077775496879
BPCL.NS,CANBK.NS,0.18888875396729643
BAJAJFINSV.NS,KOTAKBANK.NS,0.1928607718078924
IDFCFIRSTB.NS,ONGC.NS,0.19440701008740796
ASHOKLEY.NS,TATASTEEL.NS,0.19456706658290818
BANKBARODA.NS,SIEMENS.NS,0.1955748007591812
INFY.NS,TECHM.NS,0.19638865770174302
TATAMOTORS.NS,VEDL.NS,0.1993936361646193
GAIL.NS,IOC.NS,0.20123488912688142
GRASIM.NS,UBL.NS,0.20127310333536697
HEROMOTOCO.NS,TVSMOTOR.NS,0.20150162239311975
AMBUJACEM.NS,BAJAJ-AUTO.NS,0.20188836303180863
SIEMENS.NS,VEDL.NS,0.2031340595417171
AXISBANK.NS,EICHERMOT.NS,0.20419781186768587
BHEL.NS,BPCL.NS,0.2042429273173359
GRASIM.NS,LT.NS,0.205116005472272
ASHOKLEY.NS,ICICIBANK.NS,0.20645393855455596
INFY.NS,WIPRO.NS,0.20756224047826488
POWERGRID.NS,TATAPOWER.NS,0.20885297110383483
PIDILITIND.NS,SHREECEM.NS,0.20936362122557456
BAJAJFINSV.NS,TATASTEEL.NS,0.21012183427042658
IOC.NS,SIEMENS.NS,0.21199285349374836
ADANIENT.NS,TATACONSUM.NS,0.21438040508351913
CIPLA.NS,DRREDDY.NS,0.21492787388853302
HDFCBANK.NS,TATACONSUM.NS,0.21672416410406203
BANKBARODA.NS,TVSMOTOR.NS,0.21759312106326978
GAIL.NS,ONGC.NS,0.21915700205758404
SIEMENS.NS,ULTRACEMCO.NS,0.2197602410350477
HINDUNILVR.NS,NESTLEIND.NS,0.22111476608491282
ASHOKLEY.NS,COALINDIA.NS,0.22323682090000518
BANKBARODA.NS,LT.NS,0.22478342316761363
GRASIM.NS,ICICIPRULI.NS,0.22484392899975442
BAJFINANCE.NS,JSWSTEEL.NS,0.22612345338983358
BHEL.NS,POWERGRID.NS,0.2263722460025807
JINDALSTEL.NS,SIEMENS.NS,0.22664536831790427
DABUR.NS,PIDILITIND.NS,0.2284918933809904
ADANIPORTS.NS,JSWSTEEL.NS,0.2296005716402712
BANKBARODA.NS,TATAMOTORS.NS,0.23067506411874245
BAJAJFINSV.NS,TITAN.NS,0.23131281609407744
LT.NS,NTPC.NS,0.23163584983313623
IDFCFIRSTB.NS,IOC.NS,0.23222157703773333
JINDALSTEL.NS,TATAPOWER.NS,0.23275583480632178
SHREECEM.NS,TATASTEEL.NS,0.23467890710967865
BHARATFORG.NS,BHEL.NS,0.23819017974666068
ADANIENT.NS,ASHOKLEY.NS,0.23942465620950265
JSWSTEEL.NS,SRF.NS,0.239983203712354
BHEL.NS,M&M.NS,0.2401506460448204
ICICIPRULI.NS,LT.NS,0.24127621964825596
TATACONSUM.NS,UBL.NS,0.24167504130767997
LT.NS,TATAPOWER.NS,0.2428415042313944
RELIANCE.NS,SRF.NS,0.24388007408084716
AXISBANK.NS,BPCL.NS,0.24445940159156188
COALINDIA.NS,NTPC.NS,0.2482588699498834
ITC.NS,SBIN.NS,0.2485366590420937
GAIL.NS,NTPC.NS,0.24918378862396084
HDFCBANK.NS,TATACHEM.NS,0.2515018538310716
BAJAJHLDNG.NS,LT.NS,0.2531622693337042
BANKBARODA.NS,BHARATFORG.NS,0.2533477653182782
ASHOKLEY.NS,HEROMOTOCO.NS,0.2539529695846283
PIDILITIND.NS,SRF.NS,0.2543174767669335
JSWSTEEL.NS,RELIANCE.NS,0.25548462052978393
AMBUJACEM.NS,NTPC.NS,0.2564245836478911
CANBK.NS,VEDL.NS,0.25648440871327965
DIVISLAB.NS,DRREDDY.NS,0.25666869120075575
AXISBANK.NS,ICICIPRULI.NS,0.2568247228493442
ADANIENT.NS,AMBUJACEM.NS,0.25864710509069977
JINDALSTEL.NS,VEDL.NS,0.2593488883795809
BAJFINANCE.NS,TATACHEM.NS,0.26015142889534826
ITC.NS,LT.NS,0.26206807686897166
ASHOKLEY.NS,BANKBARODA.NS,0.2630226799853083
BPCL.NS,COALINDIA.NS,0.26432679777958956
ONGC.NS,SBIN.NS,0.2676424029086834
EICHERMOT.NS,ICICIBANK.NS,0.2680302755948556
HEROMOTOCO.NS,SIEMENS.NS,0.2680995721161157
ADANIENT.NS,RELIANCE.NS,0.2691491414542354
ADANIENT.NS,BAJFINANCE.NS,0.2699115063056862
LT.NS,ONGC.NS,0.2704050962906273
RELIANCE.NS,TATACHEM.NS,0.2713787302699846
IDFCFIRSTB.NS,NTPC.NS,0.27161277661365774
SBIN.NS,SIEMENS.NS,0.27190670264761313
AXISBANK.NS,IOC.NS,0.2728369570171375
CANBK.NS,TATAPOWER.NS,0.27284150966701237
PIDILITIND.NS,TITAN.NS,0.2748551801485467
IOC.NS,LT.NS,0.2753278793586668
IOC.NS,TATAMOTORS.NS,0.27703752882000954
HDFCBANK.NS,JSWSTEEL.NS,0.2788593464025058
MUTHOOTFIN.NS,ULTRACEMCO.NS,0.283057132367105
BANKBARODA.NS,GAIL.NS,0.2840477464634744
ASIANPAINT.NS,SRF.NS,0.2875705863246225
ASHOKLEY.NS,JSWSTEEL.NS,0.2887545773995238
AXISBANK.NS,CANBK.NS,0.2892882581017099
BPCL.NS,ICICIBANK.NS,0.2898835463490452
JINDALSTEL.NS,ONGC.NS,0.29098713547688637
IDFCFIRSTB.NS,SIEMENS.NS,0.2909977008118663
IOC.NS,JINDALSTEL.NS,0.29232170282231457
TATAMOTORS.NS,TATAPOWER.NS,0.293447358136366
HCLTECH.NS,TECHM.NS,0.2940868125671665
COALINDIA.NS,SIEMENS.NS,0.29415642812900444
AMBUJACEM.NS,TVSMOTOR.NS,0.2957914067157814
HEROMOTOCO.NS,LT.NS,0.29650834265152987
CANBK.NS,GRASIM.NS,0.29669932829074397
HINDUNILVR.NS,PIDILITIND.NS,0.2979315970121208
EICHERMOT.NS,TATASTEEL.NS,0.29923455677741984
AMBUJACEM.NS,PIDILITIND.NS,0.29998840340580324
TATAMOTORS.NS,TATASTEEL.NS,0.30007333783409307
BHARATFORG.NS,CHOLAFIN.NS,0.3026128536899443
ADANIENT.NS,BHARATFORG.NS,0.3028851301591327
JSWSTEEL.NS,TATAPOWER.NS,0.3038388285204975
HAVELLS.NS,SRF.NS,0.3046261805527848
IDFCFIRSTB.NS,TATAPOWER.NS,0.3080497788624077
OIL.NS,ONGC.NS,0.30961825761584305
TATAMOTORS.NS,TVSMOTOR.NS,0.3130397328938131
ICICIBANK.NS,ICICIPRULI.NS,0.31329615822448764
TATAPOWER.NS,TATASTEEL.NS,0.3133136770895336
ADANIENT.NS,ICICIBANK.NS,0.3153076008459804
BPCL.NS,TATAMOTORS.NS,0.3174909373374333
ADANIPORTS.NS,MUTHOOTFIN.NS,0.32015521273172776
TATAPOWER.NS,TVSMOTOR.NS,0.32050956876929265
JINDALSTEL.NS,NTPC.NS,0.32231474006224115
LT.NS,SIEMENS.NS,0.3230782595549061
AMBUJACEM.NS,SRF.NS,0.3233169189167177
HAVELLS.NS,TATAPOWER.NS,0.32383000807348805
HEROMOTOCO.NS,ULTRACEMCO.NS,0.3242826431521251
ADANIENT.NS,JINDALSTEL.NS,0.32504253475763956
DABUR.NS,TATACONSUM.NS,0.3265887858003353
SRF.NS,TATACONSUM.NS,0.32959939861707077
LT.NS,ULTRACEMCO.NS,0.33186392608647763
ADANIENT.NS,SBIN.NS,0.33249947175963235
EICHERMOT.NS,JSWSTEEL.NS,0.33267853757192634
HEROMOTOCO.NS,TATAPOWER.NS,0.3347483970983697
AMBUJACEM.NS,TATAMOTORS.NS,0.33515174723973645
SIEMENS.NS,TATAPOWER.NS,0.3365050468494245
BPCL.NS,TATASTEEL.NS,0.3379209452383398
COALINDIA.NS,IOC.NS,0.33973637575511884
AMBUJACEM.NS,BPCL.NS,0.33993426600096965
GAIL.NS,LT.NS,0.34076900438800223
IDFCFIRSTB.NS,TATASTEEL.NS,0.34190710502467414
AXISBANK.NS,M&M.NS,0.3427231352357404
CANBK.NS,CHOLAFIN.NS,0.3436179973953417
SHREECEM.NS,ULTRACEMCO.NS,0.344890377633707
COLPAL.NS,GODREJCP.NS,0.3464396708043641
ADANIENT.NS,ULTRACEMCO.NS,0.34661276143573305
GRASIM.NS,ONGC.NS,0.3479720768319215
IDFCFIRSTB.NS,SBIN.NS,0.3491103130044899
ADANIPORTS.NS,TVSMOTOR.NS,0.3543072828966708
CHOLAFIN.NS,ICICIPRULI.NS,0.3564468708806111
BHARTIARTL.NS,ULTRACEMCO.NS,0.3570463496728209
CANBK.NS,TATAMOTORS.NS,0.35814565391101016
CHOLAFIN.NS,TATACONSUM.NS,0.359561939674895
COALINDIA.NS,VEDL.NS,0.3601213777655847
GAIL.NS,SIEMENS.NS,0.36064762860568433
GAIL.NS,POWERGRID.NS,0.36133324317944243
SHREECEM.NS,TATAPOWER.NS,0.3643384907150463
NTPC.NS,SBIN.NS,0.36561695148006873
BAJAJFINSV.NS,SBIN.NS,0.3660072161738378
AXISBANK.NS,BAJAJFINSV.NS,0.37037067989809397
RELIANCE.NS,TATASTEEL.NS,0.3710848698538326
ADANIENT.NS,TATAPOWER.NS,0.37152443628202486
IDFCFIRSTB.NS,TVSMOTOR.NS,0.37212300634670636
HDFCBANK.NS,SBIN.NS,0.3730274628212601
AXISBANK.NS,RELIANCE.NS,0.3734141398278446
SRF.NS,UBL.NS,0.37368620975723293
BANKBARODA.NS,IDFCFIRSTB.NS,0.373916085739498
HEROMOTOCO.NS,TATAMOTORS.NS,0.37484579310475136
ASHOKLEY.NS,IOC.NS,0.3756218783429316
IOC.NS,POWERGRID.NS,0.3797082222417136
CANBK.NS,JINDALSTEL.NS,0.3797698320464026
ASHOKLEY.NS,BHEL.NS,0.38084925151582794
AXISBANK.NS,SRF.NS,0.3812165952919723
KOTAKBANK.NS,TATACONSUM.NS,0.3824059448502436
CANBK.NS,ULTRACEMCO.NS,0.3828369070576918
